split,variant,mechanism,n_cases,n_total_cases,n_scored_cases,positives,negatives,average_precision,binary_log_loss,brier_score,evidence_role
train,full,underfill_void,653,653,653,156,497,0.6188271472273045,0.39725267380248125,0.13261960247605606,in_sample
train,full,delamination,653,653,653,68,585,0.34733189819870985,0.2691972082991871,0.08084248957663376,in_sample
train,full,macro,653,653,653,671,3900,0.642301741484259,0.23013836442953514,0.07324702075637612,in_sample
train,full,micro,653,653,653,671,3900,0.6971881456538718,0.23013836442953514,0.07324702075637612,in_sample
train,inspection,dram_electrical,653,653,653,57,596,1.0000000000000002,0.010649860825844439,0.0013668065476566355,in_sample
train,inspection,tsv_open_short,653,653,653,76,577,0.5898637822390815,0.16844261125011586,0.058801340985855266,in_sample
train,inspection,microbump_open_bridge,653,653,653,94,559,0.741941498796886,0.17003654335354218,0.05929403856433021,in_sample
train,inspection,die_crack,653,653,653,36,617,0.18254862798357188,0.17724039007698933,0.04854244448900834,in_sample
train,inspection,warpage,653,653,653,184,469,0.6190307345938595,0.42139104448397763,0.14666575321484715,in_sample
train,inspection,underfill_void,653,653,653,156,497,0.5588520147741509,0.40701456852197043,0.1396645968912156,in_sample
train,inspection,delamination,653,653,653,68,585,0.1922554620343383,0.28612157629683677,0.08702223498810926,in_sample
train,inspection,macro,653,653,653,671,3900,0.5549274457745554,0.2344137992584681,0.07733674509728893,in_sample
train,inspection,micro,653,653,653,671,3900,0.6576283131667351,0.23441379925846806,0.07733674509728893,in_sample
train,manufacturing,dram_electrical,653,653,653,57,596,0.2102257427940146,0.2769966239746962,0.07613486944535862,in_sample
train,manufacturing,tsv_open_short,653,653,653,76,577,0.26240879065802103,0.32272129616639594,0.09523978455560259,in_sample
train,manufacturing,microbump_open_bridge,653,653,653,94,559,0.2505611422277525,0.3927046903767751,0.11826488749231825,in_sample
train,manufacturing,die_crack,653,653,653,36,617,0.2733240111529257,0.18876556282615212,0.048438098717226895,in_sample
train,manufacturing,warpage,653,653,653,184,469,0.48857415020544454,0.5418449904874377,0.1810466159392071,in_sample
train,manufacturing,underfill_void,653,653,653,156,497,0.4343988878723051,0.5095984345785188,0.16636058397738265,in_sample
train,manufacturing,delamination,653,653,653,68,585,0.26142327405993304,0.3072310907788732,0.08717157872641036,in_sample
train,manufacturing,macro,653,653,653,671,3900,0.3115594284243423,0.36283752702697847,0.11037948840764376,in_sample
train,manufacturing,micro,653,653,653,671,3900,0.3649977725603943,0.3628375270269784,0.11037948840764378,in_sample
train,prevalence,dram_electrical,653,653,653,57,596,0.08728943338437979,0.2962212949157606,0.07966998820381373,in_sample
train,prevalence,tsv_open_short,653,653,653,76,577,0.11638591117917305,0.35966178220608713,0.1028402308581667,in_sample
train,prevalence,microbump_open_bridge,653,653,653,94,559,0.1439509954058193,0.41207136353817564,0.12322910632749307,in_sample
train,prevalence,die_crack,653,653,653,36,617,0.055130168453292494,0.21335221421663905,0.052090832979604075,in_sample
train,prevalence,warpage,653,653,653,184,469,0.28177641653905056,0.5946232582176894,0.20237846762146203,in_sample
train,prevalence,underfill_void,653,653,653,156,497,0.23889739663093415,0.5498056436700722,0.1818254305138963,in_sample
