split,variant,mechanism,metric,low,high,valid_bootstrap_samples,lot_count
test,inspection,dram_electrical,brier_score,0.0003751252386521997,0.002964254364730778,1000,36
test,inspection,tsv_open_short,brier_score,0.04767033400895082,0.09252486600081695,1000,36
test,inspection,microbump_open_bridge,brier_score,0.04993163297107968,0.09453396683149867,1000,36
test,inspection,die_crack,brier_score,0.016186220275773266,0.07057646999858687,1000,36
test,inspection,warpage,brier_score,0.10809139948262803,0.16904349587799475,1000,36
test,inspection,underfill_void,brier_score,0.10829025884095335,0.16201359919507746,1000,36
test,inspection,delamination,brier_score,0.046438376898833435,0.12751947764302185,1000,36
test,inspection,macro,brier_score,0.06721060708470601,0.08793772405894322,1000,36
test,full,dram_electrical,average_precision,0.9871794871794872,1.0,1000,36
test,full,tsv_open_short,average_precision,0.4165793181956297,0.8059822737359008,1000,36
test,full,microbump_open_bridge,average_precision,0.4407064985234281,0.8159693276193737,1000,36
test,full,die_crack,average_precision,0.03719765838226126,0.34148583833424256,999,36
test,full,warpage,average_precision,0.4221356447971947,0.7702697276344295,1000,36
test,full,underfill_void,average_precision,0.18893790098303068,0.4510556474348242,1000,36
test,full,delamination,average_precision,0.11478427326641613,0.45073238915212305,1000,36
test,full,macro,average_precision,0.4484594808359082,0.5769087868069689,999,36
test,full,dram_electrical,binary_log_loss,0.043975453015634096,0.09349201974595386,1000,36
test,full,tsv_open_short,binary_log_loss,0.14927450831386163,0.27725012570325497,1000,36
test,full,microbump_open_bridge,binary_log_loss,0.1551945374845744,0.29305576241612197,1000,36
test,full,die_crack,binary_log_loss,0.08285151752028425,0.2798740258358188,1000,36
test,full,warpage,binary_log_loss,0.32744789817190845,0.5035902936116172,1000,36
test,full,underfill_void,binary_log_loss,0.33399699814868355,0.46401935586452975,1000,36
test,full,delamination,binary_log_loss,0.18342797772523722,0.39708552026891897,1000,36
test,full,macro,binary_log_loss,0.22441899228169482,0.2804996403634704,1000,36
test,full,dram_electrical,brier_score,0.0064189831643789485,0.024074990912117115,1000,36
test,full,tsv_open_short,brier_score,0.04836407493999768,0.09707387258524866,1000,36
test,full,microbump_open_bridge,brier_score,0.052162565721992786,0.10574287292603357,1000,36
test,full,die_crack,brier_score,0.016492401427130352,0.07327437633209871,1000,36
test,full,warpage,brier_score,0.108272730525559,0.17843131269110374,1000,36
test,full,underfill_void,brier_score,0.11391614744653161,0.16426398312622376,1000,36
test,full,delamination,brier_score,0.048704781148255674,0.12709107263324962,1000,36
test,full,macro,brier_score,0.07167005655708261,0.09277687304130072,1000,36
test,manufacturing,dram_electrical,average_precision,0.0983180936758263,0.3152565919923911,1000,36
test,manufacturing,tsv_open_short,average_precision,0.10823706820360997,0.3095945757606949,1000,36
test,manufacturing,microbump_open_bridge,average_precision,0.15678627876866433,0.4045501332042049,1000,36
test,manufacturing,die_crack,average_precision,0.01776635760770867,0.11313590862976818,999,36
test,manufacturing,warpage,average_precision,0.22118283729272917,0.5254044427606075,1000,36
test,manufacturing,underfill_void,average_precision,0.12763814751377103,0.2629848640917065,1000,36
test,manufacturing,delamination,average_precision,0.06536367070569196,0.2866481569449014,1000,36
test,manufacturing,macro,average_precision,0.17007975668313094,0.2440280895614815,999,36
test,manufacturing,dram_electrical,binary_log_loss,0.25790591689268516,0.5490258234961466,1000,36
test,manufacturing,tsv_open_short,binary_log_loss,0.28692220654928885,0.512306796288869,1000,36
test,manufacturing,microbump_open_bridge,binary_log_loss,0.3409048017753448,0.570808932606851,1000,36
test,manufacturing,die_crack,binary_log_loss,0.09824325213535456,0.31788441567805215,1000,36
test,manufacturing,warpage,binary_log_loss,0.4913663936821224,0.6547332867389575,1000,36
test,manufacturing,underfill_void,binary_log_loss,0.4170595600123406,0.5701395885039527,1000,36
test,manufacturing,delamination,binary_log_loss,0.22680202551878428,0.47073656272217873,1000,36
test,manufacturing,macro,binary_log_loss,0.38710606435247996,0.427922466362449,1000,36
test,manufacturing,dram_electrical,brier_score,0.06916985714280842,0.16716456040278482,1000,36
test,manufacturing,tsv_open_short,brier_score,0.07783343397782753,0.15597718266492025,1000,36
test,manufacturing,microbump_open_bridge,brier_score,0.09542798898433429,0.18694642688901747,1000,36
test,manufacturing,die_crack,brier_score,0.01712462105049555,0.07737702987519537,1000,36
test,manufacturing,warpage,brier_score,0.1576536388535616,0.22725769305794133,1000,36
test,manufacturing,underfill_void,brier_score,0.12634628471084783,0.1915278057437385,1000,36
test,manufacturing,delamination,brier_score,0.05354334661654177,0.13880716648254157,1000,36
test,manufacturing,macro,brier_score,0.11633685310778163,0.1294612872784328,1000,36
