split,variant,mechanism,bin_lower,bin_upper,n,positives,mean_probability,observed_fraction
train,prevalence,microbump_open_bridge,0.4,0.6000000000000001,0,0,,
train,prevalence,microbump_open_bridge,0.6000000000000001,0.8,0,0,,
train,prevalence,microbump_open_bridge,0.8,1.0,0,0,,
train,prevalence,die_crack,0.0,0.2,653,36,0.055130168453292494,0.055130168453292494
train,prevalence,die_crack,0.2,0.4,0,0,,
train,prevalence,die_crack,0.4,0.6000000000000001,0,0,,
train,prevalence,die_crack,0.6000000000000001,0.8,0,0,,
train,prevalence,die_crack,0.8,1.0,0,0,,
train,prevalence,warpage,0.0,0.2,0,0,,
train,prevalence,warpage,0.2,0.4,653,184,0.28177641653905056,0.28177641653905056
train,prevalence,warpage,0.4,0.6000000000000001,0,0,,
train,prevalence,warpage,0.6000000000000001,0.8,0,0,,
train,prevalence,warpage,0.8,1.0,0,0,,
train,prevalence,underfill_void,0.0,0.2,0,0,,
train,prevalence,underfill_void,0.2,0.4,653,156,0.23889739663093415,0.23889739663093415
train,prevalence,underfill_void,0.4,0.6000000000000001,0,0,,
train,prevalence,underfill_void,0.6000000000000001,0.8,0,0,,
train,prevalence,underfill_void,0.8,1.0,0,0,,
train,prevalence,delamination,0.0,0.2,653,68,0.10413476263399694,0.10413476263399694
train,prevalence,delamination,0.2,0.4,0,0,,
train,prevalence,delamination,0.4,0.6000000000000001,0,0,,
train,prevalence,delamination,0.6000000000000001,0.8,0,0,,
train,prevalence,delamination,0.8,1.0,0,0,,
validation,full,dram_electrical,0.0,0.2,104,1,0.025370873171279416,0.009615384615384616
validation,full,dram_electrical,0.2,0.4,2,1,0.3380159215113712,0.5
validation,full,dram_electrical,0.4,0.6000000000000001,2,2,0.5435655635033776,1.0
validation,full,dram_electrical,0.6000000000000001,0.8,6,6,0.6956391139792087,1.0
validation,full,dram_electrical,0.8,1.0,12,12,0.8701024008769521,1.0
validation,full,tsv_open_short,0.0,0.2,95,0,0.020410785924089018,0.0
validation,full,tsv_open_short,0.2,0.4,12,4,0.30677230781960435,0.3333333333333333
validation,full,tsv_open_short,0.4,0.6000000000000001,11,5,0.4926549606916886,0.45454545454545453
validation,full,tsv_open_short,0.6000000000000001,0.8,8,5,0.6615379325118507,0.625
validation,full,tsv_open_short,0.8,1.0,0,0,,
validation,full,microbump_open_bridge,0.0,0.2,93,0,0.015291734611783073,0.0
validation,full,microbump_open_bridge,0.2,0.4,12,7,0.3351263241211981,0.5833333333333334
validation,full,microbump_open_bridge,0.4,0.6000000000000001,12,7,0.509666338037647,0.5833333333333334
validation,full,microbump_open_bridge,0.6000000000000001,0.8,8,4,0.6961392023479753,0.5
validation,full,microbump_open_bridge,0.8,1.0,1,1,0.896041522039941,1.0
validation,full,die_crack,0.0,0.2,125,5,0.03941696551865906,0.04
validation,full,die_crack,0.2,0.4,1,0,0.25306171463938903,0.0
validation,full,die_crack,0.4,0.6000000000000001,0,0,,
validation,full,die_crack,0.6000000000000001,0.8,0,0,,
validation,full,die_crack,0.8,1.0,0,0,,
